lmd_A,baseline_A,corLDMmRT_A,corLDMmRT_CI_lower_A,corLDMmRT_CI_upper_A,corLDM_congruent_A,coef_A,p_value_A,BIC_A,ext_model,lmd_B,baseline_B,corLDMmRT_B,corLDMmRT_CI_lower_B,corLDMmRT_CI_upper_B,corLDM_congruent_B,coef_B,p_value_B,BIC_B,corpora,measure,stimuli,model,window_radius,embedding_size,family,base_BIC_A,base_BIC_B,C1_corr_dir,C0_bAB,C2_B_inCI,C1C2,C3_AB_pvalue,C1C2C3,C4_dBIC_AB,C1C2C3C4
cor_subtitles_conditional_probability_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.389,-0.551,-0.22,0.00817413352390566,-113.41,0.178,1141.3,cor_subtitles_conditional_probability_None_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_conditional_probability_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.389,-0.556,-0.188,0.00817413352390566,-114.95,0.174,1142.7,subtitles,cor,lowercase,conditional_probability_None,r_01,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_conditional_probability_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.038,-0.127,0.2,-0.0668457228289038,916.39,0.102,1136.6,cor_subtitles_conditional_probability_None_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_conditional_probability_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.035,-0.148,0.209,-0.0668457228289038,902.53,0.109,1138.1,subtitles,cor,lowercase,conditional_probability_None,r_10,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_conditional_probability_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.27,-0.428,-0.089,-0.0219328163119831,-22.59,0.803,1141.8,cor_subtitles_conditional_probability_None_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_conditional_probability_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.272,-0.426,-0.096,-0.0219328163119831,-27.41,0.779,1143.3,subtitles,cor,lowercase,conditional_probability_None,r_03,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_conditional_probability_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.125,-0.303,0.051,-0.0380861861262826,187.31,0.502,1140.2,cor_subtitles_conditional_probability_None_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_conditional_probability_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.127,-0.299,0.031,-0.0380861861262826,179.8,0.524,1141.6,subtitles,cor,lowercase,conditional_probability_None,r_05,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_log_cooccurrence_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.158,0.024,0.292,0.170556963446328,84.54,0.577,1140.4,cor_subtitles_log_cooccurrence_None_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_log_cooccurrence_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.155,0.029,0.292,0.170556963446328,89.24,0.569,1141.8,subtitles,cor,lowercase,log_cooccurrence_None,r_01,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_log_cooccurrence_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.073,-0.205,0.101,0.0898415584938081,10.47,0.817,1140.5,cor_subtitles_log_cooccurrence_None_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_log_cooccurrence_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.075,-0.248,0.097,0.0898415584938081,14.93,0.808,1142,subtitles,cor,lowercase,log_cooccurrence_None,r_10,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_log_cooccurrence_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.053,-0.091,0.198,0.124881612510223,181.62,0.42,1140.1,cor_subtitles_log_cooccurrence_None_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_log_cooccurrence_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.051,-0.114,0.206,0.124881612510223,187.74,0.413,1141.5,subtitles,cor,lowercase,log_cooccurrence_None,r_03,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_log_cooccurrence_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.018,-0.163,0.12,0.10929705747658,66.47,0.644,1140.4,cor_subtitles_log_cooccurrence_None_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_log_cooccurrence_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.02,-0.169,0.114,0.10929705747658,71.98,0.634,1141.8,subtitles,cor,lowercase,log_cooccurrence_None,r_05,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_pmi_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.333,-0.487,-0.161,0.218476886442596,-2232.26,0.022,1132.6,cor_subtitles_pmi_None_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_pmi_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.333,-0.494,-0.136,0.218476886442596,-2222.6,0.023,1134.1,subtitles,cor,lowercase,pmi_None,r_01,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_pmi_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.107,-0.327,0.071,0.0816209351882985,-635.91,0.364,1138,cor_subtitles_pmi_None_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_pmi_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.108,-0.324,0.115,0.0816209351882985,-633.01,0.368,1139.4,subtitles,cor,lowercase,pmi_None,r_10,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_pmi_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.206,-0.38,-0.029,0.144894095998394,-1233.52,0.176,1136.4,cor_subtitles_pmi_None_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_pmi_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.205,-0.414,0.02,0.144894095998394,-1214.25,0.184,1137.9,subtitles,cor,lowercase,pmi_None,r_03,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_pmi_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.131,-0.346,0.11,0.0954562515848896,-673.62,0.403,1137.9,cor_subtitles_pmi_None_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_pmi_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.131,-0.367,0.086,0.0954562515848896,-667.15,0.409,1139.3,subtitles,cor,lowercase,pmi_None,r_05,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_ppmi_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.261,-0.425,-0.106,0.177696692871082,-1444.96,0.273,1136.4,cor_subtitles_ppmi_None_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_ppmi_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.261,-0.415,-0.114,0.177696692871082,-1464.09,0.27,1137.8,subtitles,cor,lowercase,ppmi_None,r_01,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_ppmi_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.084,-0.274,0.127,0.0199649502232278,-427.57,0.735,1137.6,cor_subtitles_ppmi_None_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_ppmi_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.085,-0.306,0.141,0.0199649502232278,-445.45,0.724,1139,subtitles,cor,lowercase,ppmi_None,r_10,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_ppmi_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.158,-0.329,0.033,0.106815672408417,-861.02,0.686,1137,cor_subtitles_ppmi_None_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_ppmi_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.158,-0.347,0.041,0.106815672408417,-859.79,0.688,1138.5,subtitles,cor,lowercase,ppmi_None,r_03,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_ppmi_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.074,-0.324,0.142,0.0271840576986367,67.4,0.907,1137.5,cor_subtitles_ppmi_None_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_ppmi_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.076,-0.295,0.124,0.0271840576986367,52.07,0.916,1138.9,subtitles,cor,lowercase,ppmi_None,r_05,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_probability_ratios_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.132,-0.014,0.308,0.192741103346037,-28421,0.22,1130.2,cor_subtitles_probability_ratios_None_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_probability_ratios_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.134,-0.017,0.277,0.192741103346037,-28145.48,0.23,1131.7,subtitles,cor,lowercase,probability_ratios_None,r_01,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_probability_ratios_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.453,0.286,0.607,-0.309914429055593,27296.97,0,1110.4,cor_subtitles_probability_ratios_None_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_probability_ratios_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.45,0.286,0.59,-0.309914429055593,27216.82,0,1112.4,subtitles,cor,lowercase,probability_ratios_None,r_10,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_probability_ratios_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.311,0.144,0.45,-0.124066844166091,25633.38,0.015,1127.6,cor_subtitles_probability_ratios_None_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_probability_ratios_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.31,0.127,0.46,-0.124066844166091,25756.69,0.015,1129,subtitles,cor,lowercase,probability_ratios_None,r_03,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_probability_ratios_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.291,0.148,0.439,-0.319648714276005,24233.01,0,1117.6,cor_subtitles_probability_ratios_None_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_probability_ratios_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.294,0.161,0.435,-0.319648714276005,24633.67,0,1118.7,subtitles,cor,lowercase,probability_ratios_None,r_05,None,count,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_100_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.329,0.14,0.506,-0.0238805312134928,354.72,0.011,1136.4,cor_subtitles_skipgram_100_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_100_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.327,0.134,0.488,-0.0238805312134928,354.4,0.011,1137.9,subtitles,cor,lowercase,skipgram,r_01,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_100_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.499,0.331,0.623,-0.192927174605365,566.87,0,1125.6,cor_subtitles_skipgram_100_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_100_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.494,0.33,0.625,-0.192927174605365,562.52,0,1127.5,subtitles,cor,lowercase,skipgram,r_10,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_100_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.441,0.25,0.608,-0.0846280092561725,511.84,0.001,1132.2,cor_subtitles_skipgram_100_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_100_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.436,0.276,0.568,-0.0846280092561725,507.93,0.001,1133.9,subtitles,cor,lowercase,skipgram,r_03,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_100_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.501,0.345,0.628,-0.175595681161096,587.51,0,1126.4,cor_subtitles_skipgram_100_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_100_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.496,0.329,0.658,-0.175595681161096,582.98,0,1128.3,subtitles,cor,lowercase,skipgram,r_05,100,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_200_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.282,0.092,0.465,-0.00619194317948163,295.04,0.047,1138.5,cor_subtitles_skipgram_200_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_200_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.279,0.083,0.434,-0.00619194317948163,292.86,0.049,1140,subtitles,cor,lowercase,skipgram,r_01,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_200_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.409,0.22,0.551,-0.0758808517367845,452.97,0.002,1133.4,cor_subtitles_skipgram_200_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_200_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.403,0.24,0.544,-0.0758808517367845,446.54,0.002,1135.2,subtitles,cor,lowercase,skipgram,r_10,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_200_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.348,0.156,0.504,-0.0752503581758003,448.19,0.006,1134.8,cor_subtitles_skipgram_200_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_200_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.342,0.161,0.506,-0.0752503581758003,441.51,0.007,1136.6,subtitles,cor,lowercase,skipgram,r_03,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_200_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.454,0.32,0.615,-0.135261223283357,568.49,0,1128.7,cor_subtitles_skipgram_200_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_200_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.448,0.29,0.583,-0.135261223283357,562.1,0,1130.6,subtitles,cor,lowercase,skipgram,r_05,200,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_300_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.304,0.166,0.447,-0.054706445333521,490.22,0.007,1135,cor_subtitles_skipgram_300_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_300_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.301,0.109,0.465,-0.054706445333521,489.66,0.007,1136.6,subtitles,cor,lowercase,skipgram,r_01,300,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_300_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.446,0.269,0.581,-0.110116539589466,571.24,0,1130.3,cor_subtitles_skipgram_300_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_300_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.44,0.304,0.584,-0.110116539589466,566.07,0,1132.1,subtitles,cor,lowercase,skipgram,r_10,300,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_300_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.24,0.071,0.399,-0.013220261389318,492.26,0.014,1136.3,cor_subtitles_skipgram_300_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_300_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.234,0.053,0.41,-0.013220261389318,484.79,0.016,1137.9,subtitles,cor,lowercase,skipgram,r_03,300,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_300_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.398,0.23,0.538,-0.0713345374513921,568.27,0.001,1131.5,cor_subtitles_skipgram_300_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_300_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.393,0.229,0.515,-0.0713345374513921,562.54,0.001,1133.3,subtitles,cor,lowercase,skipgram,r_05,300,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_50_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.264,0.078,0.448,-0.00917667703798908,272.55,0.046,1138.6,cor_subtitles_skipgram_50_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_50_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.263,0.06,0.446,-0.00917667703798908,273.09,0.046,1140.1,subtitles,cor,lowercase,skipgram,r_01,50,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_50_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.516,0.368,0.628,-0.166271253393915,502.92,0,1126,cor_subtitles_skipgram_50_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_50_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.512,0.345,0.651,-0.166271253393915,500.06,0,1127.7,subtitles,cor,lowercase,skipgram,r_10,50,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_50_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.488,0.34,0.623,-0.162024449045767,633.62,0,1124.3,cor_subtitles_skipgram_50_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_50_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.485,0.342,0.623,-0.162024449045767,629.11,0,1126.1,subtitles,cor,lowercase,skipgram,r_03,50,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_50_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.535,0.397,0.672,-0.110722477964102,480.45,0,1127,cor_subtitles_skipgram_50_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_50_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.532,0.37,0.664,-0.110722477964102,478.11,0,1128.7,subtitles,cor,lowercase,skipgram,r_05,50,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_500_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.209,0.006,0.357,-0.00999585442768986,334.59,0.11,1138.9,cor_subtitles_skipgram_500_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_500_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.207,0.028,0.358,-0.00999585442768986,335,0.111,1140.3,subtitles,cor,lowercase,skipgram,r_01,500,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_subtitles_skipgram_500_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.275,0.134,0.419,0.00743414578599079,454.04,0.023,1136.9,cor_subtitles_skipgram_500_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_500_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.271,0.13,0.417,0.00743414578599079,450.27,0.024,1138.4,subtitles,cor,lowercase,skipgram,r_10,500,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_500_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.381,0.212,0.539,-0.105166698567952,671.88,0.001,1130.9,cor_subtitles_skipgram_500_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_500_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.378,0.188,0.548,-0.105166698567952,668.81,0.001,1132.5,subtitles,cor,lowercase,skipgram,r_03,500,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_500_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.322,0.155,0.488,-0.0591397461140393,575.08,0.002,1133.2,cor_subtitles_skipgram_500_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_subtitles_skipgram_500_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.317,0.166,0.469,-0.0591397461140393,571.09,0.002,1134.9,subtitles,cor,lowercase,skipgram,r_05,500,predict,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_llama_2_13b_chat_Q5_K_S_pairs,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.48,-0.594,-0.354,-0.013905122973941,-211.29,0.137,1140.4,cor_llama_2_13b_chat_Q5_K_S_pairsm_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_llama_2_13b_chat_Q5_K_S_pairs,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.479,-0.608,-0.347,-0.013905122973941,-220.11,0.126,1141.7,subtitles,cor,lowercase,llama_2_13b_chat_Q5_K_S,r_4096,5120,llm,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_llama_2_13b_chat_Q5_K_S_pairs_names_Upper,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.51,-0.595,-0.399,-0.0167109922783401,-264.08,0.067,1139.7,cor_llama_2_13b_chat_Q5_K_S_pairs_names_Upperm_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_llama_2_13b_chat_Q5_K_S_pairs_names_Upper,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.509,-0.601,-0.404,-0.0167109922783401,-273.28,0.06,1141,subtitles,cor,capitalized,llama_2_13b_chat_Q5_K_S,r_4096,5120,llm,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
cor_llama_2_7b_chat_Q4_K_M_pairs,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.527,-0.648,-0.367,0.0247334898088676,-438.07,0.006,1135.1,cor_llama_2_7b_chat_Q4_K_M_pairsm_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_llama_2_7b_chat_Q4_K_M_pairs,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.526,-0.662,-0.393,0.0247334898088676,-443.55,0.005,1136.4,subtitles,cor,lowercase,llama_2_7b_chat_Q4_K_M,r_4096,4096,llm,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_llama_2_7b_chat_Q4_K_M_pairs_names_Upper,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.619,-0.711,-0.521,0.0052941979563628,-439.11,0,1126.2,cor_llama_2_7b_chat_Q4_K_M_pairs_names_Upperm_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,cor_llama_2_7b_chat_Q4_K_M_pairs_names_Upper,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.618,-0.722,-0.497,0.0052941979563628,-441.35,0,1127.5,subtitles,cor,capitalized,llama_2_7b_chat_Q4_K_M,r_4096,4096,llm,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
