lmd_A,baseline_A,corLDMmRT_A,corLDMmRT_CI_lower_A,corLDMmRT_CI_upper_A,corLDM_congruent_A,coef.subtitles_conditional_probability_ngram_None_r1_A,p_value_A,BIC_A,ext_model,lmd_B,baseline_B,corLDMmRT_B,corLDMmRT_CI_lower_B,corLDMmRT_CI_upper_B,corLDM_congruent_B,coef.subtitles_conditional_probability_ngram_None_r1_B,p_value_B,BIC_B,corpora,measure,stimuli,model,window_radius,embedding_size,family,base_BIC_A,base_BIC_B,C1_corr_dir,C0_bAB,C2_B_inCI,C1C2,C3_AB_pvalue,C1C2C3,C4_dBIC_AB,C1C2C3C4
cor_subtitles_ppmi_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.084,-0.299,0.136,0.0199649502232278,-140.74,0.886,1180.8,cor_subtitles_ppmi_None_r10m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_ppmi_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.085,-0.3,0.14,0.0199649502232278,-161.47,0.87,1182.1,subtitles,cor,lowercase,ppmi_None,r_10,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_ppmi_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.158,-0.354,0.025,0.106815672408417,300.8,0.791,1180.8,cor_subtitles_ppmi_None_r3m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_ppmi_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.158,-0.345,0.059,0.106815672408417,288.76,0.8,1182,subtitles,cor,lowercase,ppmi_None,r_03,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_ppmi_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.074,-0.31,0.174,0.0271840576986367,453.65,0.676,1180.7,cor_subtitles_ppmi_None_r5m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_ppmi_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.076,-0.306,0.157,0.0271840576986367,434.2,0.691,1181.9,subtitles,cor,lowercase,ppmi_None,r_05,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_probability_ratios_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.132,-0.008,0.297,0.192741103346037,-20149.65,0.4,1180.1,cor_subtitles_probability_ratios_None_r1m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_probability_ratios_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.134,-0.029,0.275,0.192741103346037,-19662.89,0.415,1181.4,subtitles,cor,lowercase,probability_ratios_None,r_01,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_probability_ratios_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.453,0.299,0.596,-0.309914429055593,24345.1,0,1156.6,cor_subtitles_probability_ratios_None_r10m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_probability_ratios_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.45,0.27,0.592,-0.309914429055593,24296.37,0,1158.2,subtitles,cor,lowercase,probability_ratios_None,r_10,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_probability_ratios_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.311,0.153,0.491,-0.124066844166091,24336.27,0.024,1175.4,cor_subtitles_probability_ratios_None_r3m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_probability_ratios_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.31,0.148,0.466,-0.124066844166091,24330.53,0.025,1176.7,subtitles,cor,lowercase,probability_ratios_None,r_03,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cor_subtitles_probability_ratios_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.291,0.139,0.437,-0.319648714276005,19623.18,0.001,1168.9,cor_subtitles_probability_ratios_None_r5m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_probability_ratios_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.294,0.148,0.436,-0.319648714276005,19947.38,0.001,1169.9,subtitles,cor,lowercase,probability_ratios_None,r_05,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_100_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.329,0.133,0.511,-0.0238805312134928,388.35,0.002,1170.7,cor_subtitles_skipgram_100_r1m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_skipgram_100_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.327,0.137,0.503,-0.0238805312134928,387.97,0.002,1172.1,subtitles,cor,lowercase,skipgram,r_01,100,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_100_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.499,0.331,0.626,-0.192927174605365,551.22,0,1160.2,cor_subtitles_skipgram_100_r10m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_skipgram_100_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.494,0.352,0.628,-0.192927174605365,547.53,0,1162,subtitles,cor,lowercase,skipgram,r_10,100,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_100_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.441,0.27,0.575,-0.0846280092561725,545.53,0,1165.7,cor_subtitles_skipgram_100_r3m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_skipgram_100_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.436,0.299,0.583,-0.0846280092561725,541.6,0,1167.3,subtitles,cor,lowercase,skipgram,r_03,100,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
