lmd_A,baseline_A,corLDMmRT_A,corLDMmRT_CI_lower_A,corLDMmRT_CI_upper_A,corLDM_congruent_A,coef.subtitles_conditional_probability_ngram_None_r1_A,p_value_A,BIC_A,ext_model,lmd_B,baseline_B,corLDMmRT_B,corLDMmRT_CI_lower_B,corLDMmRT_CI_upper_B,corLDM_congruent_B,coef.subtitles_conditional_probability_ngram_None_r1_B,p_value_B,BIC_B,corpora,measure,stimuli,model,window_radius,embedding_size,family,base_BIC_A,base_BIC_B,C1_corr_dir,C0_bAB,C2_B_inCI,C1C2,C3_AB_pvalue,C1C2C3,C4_dBIC_AB,C1C2C3C4
cor_subtitles_cbow_50_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.207,0.017,0.382,0.0219930792359323,225.24,0.026,1175.6,cor_subtitles_cbow_50_r1m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_cbow_50_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.207,0.009,0.395,0.0219930792359323,226.58,0.026,1176.8,subtitles,cor,lowercase,cbow,r_01,50,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cor_subtitles_cbow_50_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.38,0.152,0.554,-0.173412306078948,247,0.001,1168.7,cor_subtitles_cbow_50_r10m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_cbow_50_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.376,0.184,0.571,-0.173412306078948,245.55,0.001,1170.2,subtitles,cor,lowercase,cbow,r_10,50,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_cbow_50_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.428,0.255,0.587,-0.0823572861769982,266.85,0,1165.1,cor_subtitles_cbow_50_r3m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_cbow_50_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.426,0.247,0.567,-0.0823572861769982,267.14,0,1166.5,subtitles,cor,lowercase,cbow,r_03,50,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_cbow_50_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.396,0.224,0.563,-0.192416742262204,236.72,0.001,1168.9,cor_subtitles_cbow_50_r5m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_cbow_50_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.395,0.226,0.524,-0.192416742262204,237.5,0.001,1170.2,subtitles,cor,lowercase,cbow,r_05,50,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_cbow_500_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.102,-0.081,0.287,0.0235122084562282,254.5,0.181,1178.9,cor_subtitles_cbow_500_r1m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_cbow_500_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.101,-0.09,0.283,0.0235122084562282,252.54,0.187,1180.2,subtitles,cor,lowercase,cbow,r_01,500,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_cbow_500_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.299,0.115,0.465,-0.182944356742293,370.37,0.012,1174.2,cor_subtitles_cbow_500_r10m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_cbow_500_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.294,0.028,0.489,-0.182944356742293,365.04,0.014,1175.7,subtitles,cor,lowercase,cbow,r_10,500,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cor_subtitles_cbow_500_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.297,0.085,0.496,-0.0574548275307362,406.4,0.008,1173.4,cor_subtitles_cbow_500_r3m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_cbow_500_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.293,0.078,0.464,-0.0574548275307362,402.27,0.009,1174.9,subtitles,cor,lowercase,cbow,r_03,500,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cor_subtitles_cbow_500_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.321,0.111,0.522,-0.126284396005517,412.51,0.004,1171.9,cor_subtitles_cbow_500_r5m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_cbow_500_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.316,0.123,0.489,-0.126284396005517,407.03,0.004,1173.5,subtitles,cor,lowercase,cbow,r_05,500,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_conditional_probability_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,-0.389,-0.522,-0.225,0.00817413352390566,-117.05,0.096,1177.9,cor_subtitles_conditional_probability_None_r1m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_conditional_probability_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,-0.389,-0.545,-0.213,0.00817413352390566,-118.2,0.095,1179.1,subtitles,cor,lowercase,conditional_probability_None,r_01,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_conditional_probability_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.038,-0.155,0.209,-0.0668457228289038,845.25,0.102,1178,cor_subtitles_conditional_probability_None_r10m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_conditional_probability_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.035,-0.155,0.232,-0.0668457228289038,832.34,0.109,1179.4,subtitles,cor,lowercase,conditional_probability_None,r_10,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_conditional_probability_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.27,-0.414,-0.117,-0.0219328163119831,-100.42,0.448,1180.2,cor_subtitles_conditional_probability_None_r3m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_conditional_probability_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.272,-0.434,-0.105,-0.0219328163119831,-103.37,0.438,1181.4,subtitles,cor,lowercase,conditional_probability_None,r_03,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_conditional_probability_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.125,-0.288,0.043,-0.0380861861262826,111.96,0.649,1180.6,cor_subtitles_conditional_probability_None_r5m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_conditional_probability_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.127,-0.289,0.072,-0.0380861861262826,105.61,0.67,1181.9,subtitles,cor,lowercase,conditional_probability_None,r_05,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_log_cooccurrence_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.158,0.026,0.301,0.170556963446328,464.37,0.072,1177.4,cor_subtitles_log_cooccurrence_None_r1m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_log_cooccurrence_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.155,0.032,0.275,0.170556963446328,460.68,0.076,1178.7,subtitles,cor,lowercase,log_cooccurrence_None,r_01,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_log_cooccurrence_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.073,-0.261,0.118,0.0898415584938081,275.57,0.262,1179.5,cor_subtitles_log_cooccurrence_None_r10m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_log_cooccurrence_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.075,-0.259,0.098,0.0898415584938081,272.37,0.271,1180.8,subtitles,cor,lowercase,log_cooccurrence_None,r_10,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_log_cooccurrence_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.053,-0.097,0.201,0.124881612510223,506.96,0.053,1176.9,cor_subtitles_log_cooccurrence_None_r3m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_log_cooccurrence_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.051,-0.09,0.204,0.124881612510223,504.03,0.056,1178.2,subtitles,cor,lowercase,log_cooccurrence_None,r_03,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_log_cooccurrence_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.018,-0.197,0.132,0.10929705747658,383.56,0.129,1178.4,cor_subtitles_log_cooccurrence_None_r5m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_log_cooccurrence_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.02,-0.189,0.149,0.10929705747658,380.21,0.135,1179.7,subtitles,cor,lowercase,log_cooccurrence_None,r_05,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_pmi_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,-0.333,-0.493,-0.166,0.218476886442596,-780.36,0.235,1179.4,cor_subtitles_pmi_None_r1m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_pmi_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,-0.333,-0.483,-0.185,0.218476886442596,-793.31,0.23,1180.6,subtitles,cor,lowercase,pmi_None,r_01,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_pmi_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.107,-0.333,0.136,0.0816209351882985,-291.67,0.595,1180.5,cor_subtitles_pmi_None_r10m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_pmi_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.108,-0.323,0.111,0.0816209351882985,-297.71,0.59,1181.8,subtitles,cor,lowercase,pmi_None,r_10,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_pmi_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.206,-0.407,0.024,0.144894095998394,-389.9,0.526,1180.4,cor_subtitles_pmi_None_r3m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_pmi_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.205,-0.402,0.011,0.144894095998394,-393.29,0.525,1181.6,subtitles,cor,lowercase,pmi_None,r_03,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_pmi_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.131,-0.346,0.077,0.0954562515848896,-219.22,0.714,1180.7,cor_subtitles_pmi_None_r5m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_pmi_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.131,-0.347,0.085,0.0954562515848896,-224.68,0.709,1181.9,subtitles,cor,lowercase,pmi_None,r_05,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_subtitles_ppmi_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,-0.261,-0.386,-0.11,0.177696692871082,-180.34,0.847,1180.8,cor_subtitles_ppmi_None_r1m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_ppmi_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,-0.261,-0.414,-0.087,0.177696692871082,-199.07,0.833,1182,subtitles,cor,lowercase,ppmi_None,r_01,None,count,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
