stimuli,congruent,m_RT,country,Length,NSyll,Source,BBC_freq,BNC_freq,UKWAC_freq,BNC_n,logBNC,Letters_n,Syllables_n,BBC_n,logBBC,UKWAC_n,logUKWAC,category
michelle,1,772.008668432459,UK,8,2,howmanysyllables_com,3980,82,15756,-0.674899004942705,4.40671924726425,1.5,0,-0.632857513382072,8.28903709827848,-0.818550580475728,9.6649765240908,TRUE
office,0,1068.82816883173,UK,6,2,eLexicon,27354,936,679068,0.755431881760396,6.84161547647759,-0.5,0,0.028848551877539,10.2166180494415,0.829909790380101,13.4284765488018,FALSE
office,1,902.141264468003,UK,6,2,eLexicon,27354,936,679068,0.755431881760396,6.84161547647759,-0.5,0,0.028848551877539,10.2166180494415,0.829909790380101,13.4284765488018,FALSE
parents,0,1125.62621855179,UK,7,2,eLexicon,23800,616,301784,0.219476514377501,6.42324696353352,0.5,0,-0.071763382576669,10.0774408596596,-0.107714921004543,12.6174668086686,FALSE
parents,1,987.719399243744,UK,7,2,eLexicon,23800,616,301784,0.219476514377501,6.42324696353352,0.5,0,-0.071763382576669,10.0774408596596,-0.107714921004543,12.6174668086686,FALSE
paul,0,894.083545600729,UK,4,1,eLexicon,38029,666,287633,0.303219540531078,6.50128967054039,-2.5,-1,0.331052378635747,10.5461043055463,-0.142882930490246,12.5694406409448,TRUE
paul,1,781.841919972523,UK,4,1,eLexicon,38029,666,287633,0.303219540531078,6.50128967054039,-2.5,-1,0.331052378635747,10.5461043055463,-0.142882930490246,12.5694406409448,TRUE
professional,0,1069.88537739801,UK,12,4,eLexicon,9826,276,409063,-0.349976063466825,5.62040086571715,5.5,2,-0.467360223337249,9.19278721272859,0.158894427424315,12.9216244573927,FALSE
professional,1,913.81065041937,UK,12,4,eLexicon,9826,276,409063,-0.349976063466825,5.62040086571715,5.5,2,-0.467360223337249,9.19278721272859,0.158894427424315,12.9216244573927,FALSE
rebecca,0,893.539470860103,UK,7,3,eLexicon,3423,38,17591,-0.748592867957853,3.63758615972639,0.5,1,-0.648625900408238,8.13827263853019,-0.813990245700358,9.7751426865989,TRUE
rebecca,1,762.689780610231,UK,7,3,eLexicon,3423,38,17591,-0.748592867957853,3.63758615972639,0.5,1,-0.648625900408238,8.13827263853019,-0.813990245700358,9.7751426865989,TRUE
relatives,0,1121.8224707546,UK,9,3,eLexicon,3572,103,34340,-0.639726933958203,4.63472898822964,2.5,1,-0.644407786105009,8.18088094199639,-0.772365696843313,10.4440661344515,FALSE
relatives,1,964.148559074871,UK,9,3,eLexicon,3572,103,34340,-0.639726933958203,4.63472898822964,2.5,1,-0.644407786105009,8.18088094199639,-0.772365696843313,10.4440661344515,FALSE
salary,0,1087.06452531715,UK,6,3,eLexicon,2332,56,74687,-0.718445378542566,4.02535169073515,-0.5,1,-0.679511556145307,7.75448154747038,-0.672095491294612,11.2210613265249,FALSE
salary,1,950.128297260737,UK,6,3,eLexicon,2332,56,74687,-0.718445378542566,4.02535169073515,-0.5,1,-0.679511556145307,7.75448154747038,-0.672095491294612,11.2210613265249,FALSE
