lmd_A,baseline_A,corLDMmRT_A,corLDMmRT_CI_lower_A,corLDMmRT_CI_upper_A,corLDM_congruent_A,coef_A,p_value_A,BIC_A,ext_model,lmd_B,baseline_B,corLDMmRT_B,corLDMmRT_CI_lower_B,corLDMmRT_CI_upper_B,corLDM_congruent_B,coef_B,p_value_B,BIC_B,corpora,measure,stimuli,model,window_radius,embedding_size,family,base_BIC_A,base_BIC_B,C1_corr_dir,C0_bAB,C2_B_inCI,C1C2,C3_AB_pvalue,C1C2C3,C4_dBIC_AB,C1C2C3C4
subtitles_ppmi_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.187,-0.374,0.025,0.170182329854378,-29.24,0.149,1183.2,subtitles_ppmi_ngram_None_r5m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_ppmi_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.185,-0.355,-0.007,0.170182329854378,-29.03,0.155,1184.4,subtitles,-,lowercase,ppmi_ngram,r_05,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_probability_ratio_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.091,-0.013,0.188,0.12388500984836,0.38,0.898,1185.4,subtitles_probability_ratio_ngram_None_r1m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_probability_ratio_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.086,-0.004,0.19,0.12388500984836,0.25,0.934,1186.6,subtitles,-,lowercase,probability_ratio_ngram,r_01,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_probability_ratio_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.231,-0.416,-0.036,0.235184059177604,-33.97,0.045,1181.1,subtitles_probability_ratio_ngram_None_r10m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_probability_ratio_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.226,-0.431,0.017,0.235184059177604,-33.05,0.053,1182.6,subtitles,-,lowercase,probability_ratio_ngram,r_10,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_probability_ratio_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.18,-0.36,-0.006,0.254538584775215,-12.8,0.102,1182.5,subtitles_probability_ratio_ngram_None_r3m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_probability_ratio_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.18,-0.363,-0.001,0.254538584775215,-12.92,0.101,1183.7,subtitles,-,lowercase,probability_ratio_ngram,r_03,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_probability_ratio_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.19,-0.36,-0.009,0.178653725956867,-19.39,0.092,1182.3,subtitles_probability_ratio_ngram_None_r5m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,subtitles_probability_ratio_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.19,-0.378,0.016,0.178653725956867,-19.37,0.095,1183.6,subtitles,-,lowercase,probability_ratio_ngram,r_05,None,ngram,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cos_subtitles_cbow_100_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.158,-0.051,0.325,0.023843287834875,203.13,0.058,1181.5,cos_subtitles_cbow_100_r1m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_100_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.156,-0.046,0.345,0.023843287834875,201.9,0.061,1182.9,subtitles,cos,lowercase,cbow,r_01,100,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cos_subtitles_cbow_100_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.367,0.17,0.526,-0.259357610975814,390,0,1168.9,cos_subtitles_cbow_100_r10m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_100_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.363,0.162,0.551,-0.259357610975814,387.81,0,1170.6,subtitles,cos,lowercase,cbow,r_10,100,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_100_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.328,0.163,0.487,-0.0826885133632779,261.37,0.004,1176.7,cos_subtitles_cbow_100_r3m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_100_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.325,0.134,0.499,-0.0826885133632779,259.85,0.005,1178.2,subtitles,cos,lowercase,cbow,r_03,100,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_100_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.357,0.16,0.524,-0.147205111627701,297.08,0.001,1174.4,cos_subtitles_cbow_100_r5m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_100_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.353,0.159,0.502,-0.147205111627701,294.52,0.002,1176,subtitles,cos,lowercase,cbow,r_05,100,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_200_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.163,-0.022,0.317,0.0126860568911061,253.9,0.055,1181.4,cos_subtitles_cbow_200_r1m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_200_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.161,-0.008,0.336,0.0126860568911061,252.25,0.058,1182.8,subtitles,cos,lowercase,cbow,r_01,200,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cos_subtitles_cbow_200_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.294,0.109,0.497,-0.217105479009435,311,0.011,1178.4,cos_subtitles_cbow_200_r10m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_200_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.289,0.067,0.479,-0.217105479009435,305.6,0.013,1180,subtitles,cos,lowercase,cbow,r_10,200,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cos_subtitles_cbow_200_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.323,0.144,0.501,-0.0807163248258594,327.99,0.005,1176.8,cos_subtitles_cbow_200_r3m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_200_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.319,0.104,0.511,-0.0807163248258594,324.78,0.005,1178.3,subtitles,cos,lowercase,cbow,r_03,200,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_200_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.322,0.109,0.53,-0.153837587179355,340.54,0.003,1176,cos_subtitles_cbow_200_r5m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_200_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.317,0.127,0.501,-0.153837587179355,337.03,0.004,1177.6,subtitles,cos,lowercase,cbow,r_05,200,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_300_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.125,-0.069,0.314,0.0492488700597047,220.73,0.185,1183.5,cos_subtitles_cbow_300_r1m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_300_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.122,-0.053,0.306,0.0492488700597047,217.03,0.195,1184.8,subtitles,cos,lowercase,cbow,r_01,300,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cos_subtitles_cbow_300_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.272,0.062,0.446,-0.211157884093419,370.32,0.013,1178.8,cos_subtitles_cbow_300_r10m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_300_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.268,0.078,0.451,-0.211157884093419,365.49,0.015,1180.3,subtitles,cos,lowercase,cbow,r_10,300,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cos_subtitles_cbow_300_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.339,0.153,0.512,-0.113860899883114,409.25,0.002,1175.5,cos_subtitles_cbow_300_r3m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_300_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.335,0.14,0.509,-0.113860899883114,406.53,0.003,1177,subtitles,cos,lowercase,cbow,r_03,300,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_300_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.313,0.091,0.483,-0.154845210348315,377.69,0.003,1176,cos_subtitles_cbow_300_r5m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_300_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.308,0.075,0.484,-0.154845210348315,372.45,0.004,1177.6,subtitles,cos,lowercase,cbow,r_05,300,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_50_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.27,0.069,0.425,-0.00808757900214103,242.26,0.011,1178.5,cos_subtitles_cbow_50_r1m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_50_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.27,0.078,0.46,-0.00808757900214103,243.15,0.012,1179.8,subtitles,cos,lowercase,cbow,r_01,50,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cos_subtitles_cbow_50_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.398,0.196,0.571,-0.180132625591756,247.15,0.001,1172.9,cos_subtitles_cbow_50_r10m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_50_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.395,0.2,0.57,-0.180132625591756,246.31,0.001,1174.4,subtitles,cos,lowercase,cbow,r_10,50,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_50_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.394,0.213,0.528,-0.0784406753599746,229.87,0.001,1173,cos_subtitles_cbow_50_r3m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_50_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.392,0.23,0.562,-0.0784406753599746,230.2,0.001,1174.4,subtitles,cos,lowercase,cbow,r_03,50,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_50_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.435,0.26,0.592,-0.175666205165195,251.33,0,1171.8,cos_subtitles_cbow_50_r5m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_50_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.433,0.272,0.578,-0.175666205165195,252.15,0,1173.1,subtitles,cos,lowercase,cbow,r_05,50,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_cbow_500_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.101,-0.09,0.289,0.0234232376238452,260.65,0.175,1183.4,cos_subtitles_cbow_500_r1m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_500_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.1,-0.09,0.306,0.0234232376238452,258.29,0.181,1184.7,subtitles,cos,lowercase,cbow,r_01,500,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cos_subtitles_cbow_500_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.298,0.105,0.468,-0.183121053221174,369.17,0.013,1178.8,cos_subtitles_cbow_500_r10m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_500_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.293,0.091,0.469,-0.183121053221174,363.87,0.015,1180.3,subtitles,cos,lowercase,cbow,r_10,500,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cos_subtitles_cbow_500_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.296,0.093,0.487,-0.060840673581245,409.32,0.008,1177.9,cos_subtitles_cbow_500_r3m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_500_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.292,0.103,0.455,-0.060840673581245,404.64,0.01,1179.4,subtitles,cos,lowercase,cbow,r_03,500,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cos_subtitles_cbow_500_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.32,0.104,0.516,-0.127076281072886,412.02,0.004,1176.5,cos_subtitles_cbow_500_r5m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_cbow_500_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.315,0.134,0.446,-0.127076281072886,406.59,0.005,1178.1,subtitles,cos,lowercase,cbow,r_05,500,predict,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cos_subtitles_conditional_probability_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.389,-0.535,-0.248,0.00817265045393462,-121.9,0.095,1182.4,cos_subtitles_conditional_probability_None_r1m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_conditional_probability_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.389,-0.54,-0.233,0.00817265045393462,-123.45,0.093,1183.6,subtitles,cos,lowercase,conditional_probability_None,r_01,None,count,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cos_subtitles_conditional_probability_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.038,-0.16,0.213,-0.0668459228255678,843.44,0.105,1182.6,cos_subtitles_conditional_probability_None_r10m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_conditional_probability_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.036,-0.177,0.216,-0.0668459228255678,831.01,0.112,1183.9,subtitles,cos,lowercase,conditional_probability_None,r_10,None,count,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cos_subtitles_conditional_probability_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.27,-0.426,-0.12,-0.0219354620187318,-99.31,0.459,1184.8,cos_subtitles_conditional_probability_None_r3m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_conditional_probability_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.272,-0.415,-0.113,-0.0219354620187318,-102.61,0.447,1186,subtitles,cos,lowercase,conditional_probability_None,r_03,None,count,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cos_subtitles_conditional_probability_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.125,-0.293,0.044,-0.0380868314711903,113.21,0.647,1185.2,cos_subtitles_conditional_probability_None_r5m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,cos_subtitles_conditional_probability_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.127,-0.284,0.023,-0.0380868314711903,106.73,0.668,1186.4,subtitles,cos,lowercase,conditional_probability_None,r_05,None,count,1180.82,1182.06,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
